iter	Passed	Remaining
0	51	25667
1	53	13372
2	55	9248
3	58	7192
4	60	5972
5	62	5155
6	64	4564
7	66	4117
8	69	3769
9	71	3495
10	73	3262
11	75	3069
12	77	2907
13	79	2765
14	81	2643
15	83	2534
16	86	2443
17	88	2358
18	90	2284
19	92	2216
20	94	2158
21	96	2102
22	98	2051
23	101	2005
24	103	1960
25	105	1921
26	107	1884
27	110	1855
28	112	1824
29	114	1795
30	116	1766
31	118	1738
32	121	1712
33	123	1689
34	125	1667
35	127	1645
36	129	1624
37	132	1605
38	134	1586
39	136	1569
40	138	1550
41	140	1533
42	142	1519
43	145	1508
44	147	1493
45	149	1479
46	151	1464
47	154	1450
48	156	1436
49	158	1424
50	160	1413
51	162	1401
52	165	1392
53	167	1381
54	169	1371
55	171	1361
56	173	1351
57	176	1341
58	178	1334
59	180	1325
60	182	1316
61	184	1306
62	187	1298
63	189	1289
64	191	1283
65	194	1275
66	196	1267
67	198	1259
68	200	1251
69	202	1244
70	204	1237
71	206	1229
72	209	1223
73	211	1215
74	213	1209
75	215	1201
76	217	1194
77	219	1187
78	221	1181
79	223	1174
80	225	1168
81	228	1162
82	230	1156
83	232	1150
84	234	1144
85	236	1138
86	238	1133
87	241	1128
88	243	1122
89	245	1117
90	247	1111
91	249	1107
92	251	1101
93	253	1096
94	256	1092
95	258	1086
96	260	1081
97	262	1076
98	264	1071
99	266	1066
100	268	1062
101	270	1057
102	273	1052
103	275	1048
104	277	1044
105	279	1039
106	281	1035
107	284	1031
108	286	1027
109	288	1024
110	291	1019
111	293	1015
112	295	1011
113	297	1007
114	299	1003
115	301	999
116	303	995
117	306	991
118	308	987
119	310	984
120	312	980
121	315	976
122	317	972
123	319	969
124	321	965
125	323	961
126	325	957
127	328	953
128	330	949
129	332	946
130	334	942
131	336	939
132	339	935
133	341	931
134	343	928
135	345	924
136	347	921
137	349	917
138	351	913
139	354	910
140	356	906
141	358	903
142	360	900
143	363	899
144	365	895
145	368	892
146	370	889
147	372	885
148	374	882
149	376	878
150	378	875
151	381	872
152	383	868
153	385	866
154	387	862
155	389	859
156	391	855
157	393	852
158	396	849
159	398	846
160	400	842
161	402	839
162	404	836
163	406	832
164	408	829
165	410	826
166	412	822
167	414	819
168	416	816
169	419	815
170	421	811
171	424	808
172	426	805
173	428	802
174	430	799
175	432	796
176	435	793
177	437	790
178	439	787
179	441	785
180	443	782
181	445	779
182	448	776
183	450	773
184	452	770
185	454	767
186	456	764
187	459	761
188	461	758
189	463	756
190	465	753
191	467	750
192	470	747
193	472	744
194	474	742
195	476	739
196	478	736
197	481	733
198	483	730
199	485	728
200	487	725
201	489	722
202	491	719
203	494	717
204	496	714
205	498	711
206	500	708
207	502	705
208	504	703
209	507	700
210	509	698
211	511	695
212	514	692
213	516	689
214	518	687
215	520	684
216	523	682
217	526	680
218	528	677
219	530	675
220	532	672
221	535	670
222	537	667
223	539	664
224	541	661
225	543	659
226	545	656
227	548	654
228	550	651
229	552	648
230	554	646
231	556	643
232	559	640
233	561	637
234	563	635
235	565	632
236	567	629
237	569	627
238	571	624
239	573	621
240	575	619
241	578	616
242	580	614
243	582	611
244	585	609
245	587	606
246	589	604
247	591	601
248	594	599
249	596	596
250	598	594
251	601	591
252	603	589
253	605	586
254	607	583
255	609	581
256	611	578
257	614	575
258	616	573
259	618	570
260	620	568
261	622	565
262	624	563
263	626	560
264	629	557
265	631	555
266	633	552
267	635	549
268	637	547
269	639	544
270	641	542
271	643	539
272	645	536
273	647	534
274	649	531
275	651	528
276	653	526
277	655	523
278	657	521
279	659	518
280	662	516
281	664	513
282	666	510
283	668	508
284	670	505
285	672	503
286	674	500
287	676	498
288	678	495
289	680	493
290	682	490
291	684	487
292	687	485
293	689	482
294	691	480
295	693	477
296	695	475
297	697	472
298	699	470
299	701	467
300	703	465
301	705	462
302	707	460
303	709	457
304	711	455
305	713	452
306	716	450
307	718	447
308	720	445
309	722	442
310	724	440
311	727	438
312	729	435
313	731	433
314	733	430
315	735	428
316	737	425
317	740	423
318	742	421
319	744	418
320	746	416
321	748	413
322	750	411
323	753	409
324	755	406
325	757	404
326	759	401
327	761	399
328	763	396
329	765	394
330	767	392
331	770	389
332	772	387
333	774	385
334	777	382
335	779	380
336	781	377
337	783	375
338	785	373
339	788	370
340	790	368
341	792	366
342	794	363
343	796	361
344	798	358
345	800	356
346	802	354
347	804	351
348	807	349
349	809	346
350	811	344
351	813	341
352	815	339
353	817	337
354	819	334
355	821	332
356	823	329
357	826	327
358	828	325
359	830	323
360	832	320
361	834	318
362	836	315
363	839	313
364	841	311
365	843	308
366	845	306
367	847	303
368	849	301
369	851	299
370	853	296
371	855	294
372	857	292
373	860	289
374	862	287
375	864	285
376	866	282
377	868	280
378	871	278
379	873	275
380	875	273
381	877	271
382	880	268
383	882	266
384	884	264
385	886	261
386	888	259
387	890	257
388	892	254
389	894	252
390	897	250
391	899	247
392	901	245
393	903	243
394	905	240
395	907	238
396	910	236
397	912	233
398	914	231
399	916	229
400	918	226
401	920	224
402	922	222
403	924	219
404	926	217
405	928	215
406	931	212
407	933	210
408	935	208
409	937	205
410	939	203
411	941	201
412	943	198
413	945	196
414	947	194
415	949	191
416	951	189
417	953	187
418	955	184
419	957	182
420	959	180
421	961	177
422	963	175
423	965	173
424	967	170
425	969	168
426	972	166
427	974	163
428	976	161
429	978	159
430	980	156
431	982	154
432	984	152
433	986	150
434	988	147
435	990	145
436	992	143
437	994	140
438	997	138
439	999	136
440	1001	133
441	1003	131
442	1005	129
443	1007	127
444	1009	124
445	1011	122
446	1013	120
447	1015	117
448	1018	115
449	1020	113
450	1022	111
451	1024	108
452	1026	106
453	1028	104
454	1030	101
455	1032	99
456	1034	97
457	1036	95
458	1038	92
459	1040	90
460	1043	88
461	1045	85
462	1047	83
463	1049	81
464	1051	79
465	1053	76
466	1055	74
467	1058	72
468	1060	70
469	1062	67
470	1064	65
471	1066	63
472	1068	61
473	1071	58
474	1073	56
475	1075	54
476	1077	51
477	1079	49
478	1081	47
479	1083	45
480	1086	42
481	1088	40
482	1090	38
483	1092	36
484	1094	33
485	1096	31
486	1098	29
487	1100	27
488	1102	24
489	1104	22
490	1106	20
491	1108	18
492	1110	15
493	1113	13
494	1115	11
495	1117	9
496	1119	6
497	1121	4
498	1123	2
499	1125	0
