iter	Passed	Remaining
0	50	25073
1	52	13087
2	54	9063
3	56	7063
4	59	5862
5	61	5053
6	63	4474
7	65	4041
8	67	3704
9	70	3444
10	72	3222
11	74	3043
12	77	2886
13	79	2748
14	81	2630
15	83	2525
16	85	2439
17	88	2359
18	90	2299
19	93	2236
20	95	2174
21	97	2118
22	99	2068
23	101	2020
24	104	1979
25	106	1938
26	108	1900
27	110	1865
28	112	1831
29	114	1800
30	117	1771
31	119	1743
32	121	1717
33	123	1694
34	125	1672
35	128	1651
36	130	1630
37	132	1613
38	134	1594
39	137	1576
40	139	1560
41	141	1542
42	143	1524
43	145	1508
44	147	1493
45	149	1477
46	151	1464
47	154	1450
48	156	1437
49	158	1425
50	160	1414
51	163	1404
52	165	1394
53	167	1383
54	169	1373
55	171	1363
56	174	1352
57	176	1343
58	178	1333
59	180	1324
60	182	1314
61	184	1306
62	187	1299
63	189	1290
64	191	1282
65	193	1273
66	195	1265
67	198	1258
68	200	1251
69	202	1244
70	204	1237
71	207	1230
72	209	1224
73	211	1217
74	213	1210
75	215	1202
76	217	1196
77	220	1190
78	222	1184
79	224	1177
80	226	1171
81	228	1165
82	230	1159
83	233	1154
84	235	1150
85	237	1144
86	239	1139
87	242	1133
88	244	1127
89	246	1122
90	248	1117
91	250	1111
92	252	1106
93	255	1101
94	257	1096
95	260	1097
96	262	1092
97	265	1087
98	267	1082
99	269	1077
100	271	1072
101	273	1067
102	275	1062
103	277	1058
104	280	1053
105	282	1049
106	284	1044
107	286	1040
108	288	1035
109	290	1031
110	293	1027
111	295	1023
112	297	1018
113	299	1014
114	301	1010
115	303	1005
116	305	1001
117	308	997
118	310	993
119	312	989
120	314	986
121	317	982
122	319	978
123	321	974
124	323	971
125	325	967
126	327	963
127	330	959
128	332	955
129	334	952
130	336	948
131	338	944
132	340	940
133	343	937
134	345	933
135	347	930
136	349	926
137	351	923
138	354	919
139	356	916
140	358	913
141	360	909
142	362	905
143	365	902
144	367	899
145	369	896
146	372	893
147	374	889
148	376	886
149	378	883
150	380	879
151	382	876
152	384	872
153	387	869
154	389	866
