iter	Logloss
0	0.6496356577
1	0.6147403383
2	0.5850899378
3	0.5659097206
4	0.5506432128
5	0.5384997873
6	0.5292771367
7	0.5202455608
8	0.5121665552
9	0.5060024258
10	0.5011978432
11	0.4966115657
12	0.4935975312
13	0.4905619433
14	0.4889623412
15	0.4863265173
16	0.4840803243
17	0.4833349989
18	0.481183811
19	0.4801893144
20	0.4783670602
21	0.4776514919
22	0.4769544744
23	0.4764974727
24	0.4758251166
25	0.4751231315
26	0.4740497523
27	0.4729452758
28	0.4729388531
29	0.4724764389
30	0.4718940679
31	0.4714320549
32	0.4711931713
33	0.4706693977
34	0.4701518946
35	0.4698879341
36	0.4693669877
37	0.4689148842
38	0.468504969
39	0.4683685643
40	0.4678835991
41	0.4677442813
42	0.4670649778
43	0.4668179232
44	0.4657511763
45	0.4656065708
46	0.4653153389
47	0.4648470157
48	0.4644190253
49	0.4642520532
50	0.46378155
51	0.4634096161
52	0.4632352212
53	0.4628997279
54	0.4626750364
55	0.4624288165
56	0.4620716576
57	0.461689785
58	0.46149843
59	0.4612971069
60	0.4612557724
61	0.4607503485
62	0.4606065681
63	0.4603563347
64	0.4597063276
65	0.4595818618
66	0.4589312043
67	0.4589312001
68	0.4589307739
69	0.4586679581
70	0.4582761074
71	0.4580827764
72	0.4580148032
73	0.4576630409
74	0.457512655
75	0.4573727649
76	0.4572971923
77	0.4569475789
78	0.4567474934
79	0.4566171995
80	0.456529008
81	0.4560994961
82	0.4559364396
83	0.4558303738
84	0.4554310721
85	0.455079715
86	0.4548846316
87	0.4545703723
88	0.4543505668
89	0.4541605407
90	0.4540660426
91	0.4538159642
92	0.4537970258
93	0.453532271
94	0.453181683
95	0.4529823206
96	0.4527617974
97	0.4525007416
98	0.4521667391
99	0.4515233594
100	0.4513444526
101	0.451280353
102	0.4510054823
103	0.4508573291
104	0.4507323449
105	0.4503622338
106	0.449679298
107	0.4496619123
108	0.4494625491
109	0.4493273577
110	0.4488644559
111	0.4487377287
112	0.4486973925
113	0.4485152332
114	0.448351039
115	0.448196534
116	0.447977423
117	0.4479355088
118	0.4478824873
119	0.4473047225
120	0.4469349994
121	0.4466951555
122	0.446242842
123	0.4456087834
124	0.4454412924
125	0.4453976228
126	0.4453079051
127	0.4449497832
128	0.4447668879
129	0.444677601
130	0.4442142385
131	0.4441155922
132	0.4439855352
133	0.4439270337
134	0.4438866116
135	0.4434460913
136	0.4434130503
137	0.443155743
138	0.4430716375
139	0.4429642231
140	0.4427444488
141	0.4425598393
142	0.4424286992
143	0.4423779977
144	0.4419126431
145	0.4415921455
146	0.4411329525
147	0.4409427689
148	0.4406047251
149	0.4403643555
150	0.4397503126
151	0.4395276703
152	0.4392708165
153	0.4390966208
154	0.4388870113
155	0.4387608294
156	0.4387516543
157	0.4384191488
158	0.438363256
159	0.4380189168
160	0.437528663
161	0.4373681845
162	0.43715158
163	0.4368471158
164	0.4365688174
165	0.4363586362
166	0.4360504718
167	0.4359868258
168	0.4358112267
169	0.4355581816
170	0.4351334971
171	0.4351254693
172	0.4348203773
173	0.434337965
174	0.4342141269
175	0.4341285554
176	0.4340125215
177	0.4338661088
178	0.4336123973
179	0.4335716565
180	0.4334567125
181	0.4332321115
182	0.4332178477
183	0.433111751
184	0.4330421301
185	0.4329400383
186	0.4328117027
187	0.4326742619
188	0.4323112031
189	0.4322594122
190	0.4322196348
191	0.4321805278
192	0.4320841987
193	0.431784599
194	0.4316264802
195	0.4314543588
196	0.4311274214
197	0.4310350149
198	0.431023651
199	0.4309488651
200	0.4308411289
201	0.4307687864
202	0.4306149952
203	0.4305110785
204	0.430394895
205	0.4301981751
206	0.430170358
207	0.4299406905
208	0.4296339874
209	0.4295980025
210	0.4293344044
211	0.4289663524
212	0.4287298523
213	0.42848993
214	0.4284593132
215	0.4283824081
216	0.4281905222
217	0.428011217
218	0.4277750042
219	0.4271971837
220	0.4269426575
221	0.4267597065
222	0.4266293032
223	0.426405475
224	0.4260621702
225	0.42561501
226	0.4251910059
227	0.4249388025
228	0.424620405
229	0.4244236185
230	0.4243607711
231	0.4242459266
232	0.4239926713
233	0.4237322758
234	0.4236365504
235	0.4233177652
236	0.4231872629
237	0.4230379223
238	0.4229877489
239	0.42294258
240	0.4226324676
241	0.4222224347
242	0.422061242
243	0.4218378755
244	0.4216764912
245	0.4215882816
246	0.4210884118
247	0.4209445973
248	0.420780988
249	0.4207298528
250	0.4205674649
251	0.420468336
