iter	Passed	Remaining
0	70	70118
1	79	39782
2	88	29356
3	98	24593
4	107	21374
5	115	19121
6	124	17648
7	133	16566
8	143	15848
9	153	15161
10	162	14612
11	170	14029
12	177	13497
13	185	13041
14	192	12670
15	201	12385
16	209	12101
17	217	11871
18	226	11690
19	234	11498
20	245	11426
21	253	11277
22	262	11130
23	269	10956
24	277	10816
25	285	10693
26	293	10573
27	301	10466
28	310	10394
29	319	10340
30	328	10283
31	336	10185
32	344	10081
33	352	10012
34	359	9904
35	366	9806
36	374	9745
37	383	9697
38	391	9644
39	396	9512
40	404	9458
41	412	9415
42	420	9366
43	429	9332
44	437	9293
45	445	9229
46	452	9177
47	460	9138
48	469	9112
49	477	9070
50	484	9019
51	491	8965
52	500	8938
53	506	8876
54	513	8820
55	521	8790
56	529	8764
57	537	8732
58	544	8691
59	547	8577
60	553	8522
61	559	8470
62	569	8473
63	577	8450
64	585	8417
65	591	8375
66	602	8383
67	609	8347
68	616	8323
69	623	8280
70	628	8227
71	634	8180
72	642	8154
73	649	8131
74	656	8094
75	660	8033
76	668	8013
77	676	7995
78	684	7974
79	691	7952
80	699	7935
81	706	7910
82	713	7886
83	721	7872
84	729	7856
85	738	7852
86	742	7788
87	749	7766
88	753	7709
89	757	7655
90	763	7626
91	770	7608
92	779	7605
93	786	7582
94	795	7574
95	804	7579
96	812	7565
97	820	7551
98	828	7536
99	836	7530
100	845	7523
101	853	7518
102	862	7510
103	870	7495
104	880	7506
105	889	7501
106	897	7490
107	904	7471
108	912	7459
109	919	7435
110	925	7409
111	931	7385
112	938	7367
113	946	7358
114	954	7343
115	965	7354
116	972	7340
117	981	7337
118	990	7334
119	999	7328
120	1008	7325
121	1016	7317
122	1024	7304
123	1032	7297
124	1041	7291
125	1049	7276
126	1056	7265
127	1065	7260
128	1074	7258
129	1082	7247
130	1090	7235
131	1099	7227
132	1107	7220
133	1114	7200
134	1121	7186
135	1128	7167
136	1135	7155
137	1142	7138
138	1148	7112
139	1156	7102
140	1163	7091
141	1169	7069
142	1176	7051
143	1183	7037
144	1193	7035
145	1200	7020
146	1209	7016
147	1216	7005
148	1225	6998
149	1234	6994
150	1243	6989
151	1249	6969
152	1257	6960
153	1262	6935
154	1270	6928
155	1279	6922
156	1289	6921
157	1298	6920
158	1305	6902
159	1312	6888
160	1321	6885
161	1332	6893
162	1340	6885
163	1348	6875
164	1356	6864
165	1364	6855
166	1373	6852
167	1379	6831
168	1389	6830
169	1398	6828
170	1408	6829
171	1418	6828
172	1432	6848
173	1444	6857
174	1455	6863
175	1466	6865
176	1477	6871
177	1483	6851
178	1491	6839
179	1498	6828
180	1507	6819
181	1514	6804
182	1522	6798
183	1530	6788
184	1539	6783
185	1548	6775
186	1556	6765
187	1564	6757
188	1573	6749
189	1581	6741
190	1589	6731
191	1596	6720
192	1605	6714
193	1614	6706
194	1621	6695
195	1630	6687
196	1639	6681
197	1647	6674
198	1659	6679
199	1670	6681
200	1680	6681
201	1691	6683
202	1702	6684
203	1710	6676
204	1719	6667
205	1727	6657
206	1736	6653
207	1746	6648
208	1753	6638
209	1759	6617
210	1767	6607
211	1775	6600
212	1783	6590
213	1792	6583
214	1799	6570
215	1806	6556
216	1814	6545
217	1821	6533
218	1829	6523
219	1836	6510
220	1844	6500
221	1852	6493
222	1860	6483
223	1869	6475
224	1876	6462
225	1884	6453
226	1892	6444
227	1900	6434
228	1908	6425
229	1916	6414
230	1923	6403
231	1933	6398
232	1941	6392
233	1949	6383
234	1959	6377
235	1967	6369
236	1976	6363
237	1983	6351
238	1992	6344
239	1998	6329
240	2005	6316
241	2012	6303
242	2020	6293
243	2027	6282
244	2035	6271
245	2043	6263
246	2051	6253
247	2059	6243
248	2066	6232
249	2073	6220
250	2080	6209
251	2089	6201
252	2097	6191
253	2105	6184
254	2113	6174
255	2121	6165
256	2130	6158
257	2139	6153
258	2148	6147
259	2157	6140
260	2163	6126
261	2171	6115
262	2179	6108
263	2187	6099
264	2194	6087
265	2203	6080
266	2210	6068
267	2218	6059
268	2226	6051
